meter_number,block_load_count,daily_load,push_event_count,pull_event_count,prev_month_billing_data,record_date
SE10000105,20,0,0,0,1,2024-09-16
SE10000109,0,0,0,0,1,2024-09-16
SE10000010,24,0,0,0,1,2024-09-16
SE10000178,24,0,0,0,1,2024-09-16
SE10000009,20,0,0,0,1,2024-09-16
SE10000179,24,0,0,0,1,2024-09-16
SE10000008,24,0,0,0,1,2024-09-16
SE10000117,20,0,0,0,1,2024-09-16
SE10000177,24,0,0,0,1,2024-09-16
SE10000027,20,0,0,0,1,2024-09-16
SE10000011,0,0,0,0,1,2024-09-16
SE10000025,12,0,0,0,1,2024-09-16
SE10000024,16,0,0,0,1,2024-09-16
SE10000151,0,0,0,0,1,2024-09-16
SE10000118,24,0,0,0,1,2024-09-16
SE10000146,12,0,0,0,1,2024-09-16
SE10000119,24,0,0,0,1,2024-09-16
SE10000145,12,0,0,0,1,2024-09-16
SE10000120,9,0,0,0,1,2024-09-16
SE10000066,20,0,0,0,1,2024-09-16
SE10000137,16,0,0,0,1,2024-09-16
SE10000029,20,0,0,0,1,2024-09-16
SE10000065,20,0,0,0,1,2024-09-16
SE10000135,24,0,0,0,1,2024-09-16
SE10000121,12,0,0,0,1,2024-09-16
SE10000064,24,0,0,0,1,2024-09-16
SE10000134,16,0,0,0,1,2024-09-16
SE10000122,24,0,0,0,1,2024-09-16
SE10000028,0,0,0,0,1,2024-09-16
SE10000031,16,0,0,0,1,2024-09-16
SE10000143,16,0,0,0,1,2024-09-16
SE10000198,20,0,0,0,1,2024-09-16
SE10000182,20,0,0,0,1,2024-09-16
SE10000180,24,0,0,0,1,2024-09-16
SE10000199,24,0,0,0,1,2024-09-16
SE10000181,24,0,0,0,1,2024-09-16
SE10000142,12,0,0,0,1,2024-09-16
SE10000144,16,0,0,0,1,2024-09-16
SE10000068,20,0,0,0,1,2024-09-16
SE10000067,20,0,0,0,1,2024-09-16
SE10000197,20,0,0,0,1,2024-09-16
SE10000033,16,0,0,0,1,2024-09-16
SE10000153,10,0,0,0,1,2024-09-16
SE10000030,24,0,0,0,1,2024-09-16
SE10000069,20,0,0,0,1,2024-09-16
SE10000154,20,0,0,0,1,2024-09-16
SE10000141,20,0,0,0,1,2024-09-16
SE10000057,20,0,0,0,1,2024-09-16
SE10000034,12,0,0,0,1,2024-09-16
SE10000070,20,0,0,0,1,2024-09-16
SE10000058,16,0,0,0,1,2024-09-16
SE10000036,12,0,0,0,1,2024-09-16
SE10000035,12,0,0,0,1,2024-09-16
SE10000037,12,0,0,0,1,2024-09-16
SE10000051,24,0,0,0,1,2024-09-16
SE10000038,16,0,0,0,1,2024-09-16
SE10000039,12,0,0,0,1,2024-09-16
SE10000071,20,0,0,0,1,2024-09-16
SE10000059,24,0,0,0,1,2024-09-16
SE10000123,20,0,0,0,1,2024-09-16
SE10000085,20,0,0,0,1,2024-09-16
SE10000087,20,0,0,0,1,2024-09-16
SE10000124,20,0,0,0,1,2024-09-16
SE10000086,20,0,0,0,1,2024-09-16
SE10000125,24,0,0,0,1,2024-09-16
SE10000088,0,0,0,0,1,2024-09-16
SE10000089,20,0,0,0,1,2024-09-16
SE10000060,20,0,0,0,1,2024-09-16
SE10000061,0,0,0,0,1,2024-09-16
SE10000126,16,0,0,0,1,2024-09-16
SE10000062,9,0,0,0,1,2024-09-16
SE10000072,24,0,0,0,1,2024-09-16
SE10000090,24,0,0,0,1,2024-09-16
SE10000091,24,0,0,0,1,2024-09-16
SE10000128,24,0,0,0,1,2024-09-16
SE10000041,16,0,0,0,1,2024-09-16
SE10000040,24,0,0,0,1,2024-09-16
SE10000063,24,0,0,0,1,2024-09-16
SE10000053,16,0,0,0,1,2024-09-16
SE10000055,12,0,0,0,1,2024-09-16
SE10000054,24,0,0,0,1,2024-09-16
SE10000127,24,0,0,0,1,2024-09-16
SE10000155,12,0,0,0,1,2024-09-16
SE10000147,20,0,0,0,1,2024-09-16
SE10000158,16,0,0,0,1,2024-09-16
SE10000176,12,0,0,0,1,2024-09-16
SE10000171,10,0,0,0,1,2024-09-16
SE10000162,24,0,0,0,1,2024-09-16
SE10000159,24,0,0,0,1,2024-09-16
SE10000160,12,0,0,0,1,2024-09-16
SE10000161,12,0,0,0,1,2024-09-16
SE10000156,10,0,0,0,1,2024-09-16
SE10000075,20,0,0,0,1,2024-09-16
SE10000074,20,0,0,0,1,2024-09-16
SE10000163,20,0,0,0,1,2024-09-16
SE10000076,20,0,0,0,1,2024-09-16
SE10000157,20,0,0,0,1,2024-09-16
SE10000168,20,0,0,0,1,2024-09-16
SE10000169,24,0,0,0,1,2024-09-16
SE10000077,24,0,0,0,1,2024-09-16
SE10000164,24,0,0,0,1,2024-09-16
SE10000166,24,0,0,0,1,2024-09-16
SE10000079,20,0,0,0,1,2024-09-16
SE10000167,24,0,0,0,1,2024-09-16
SE10000078,16,0,0,0,1,2024-09-16
SE10000098,24,0,0,0,1,2024-09-16
SE10000170,24,0,0,0,1,2024-09-16
SE10000097,12,0,0,0,1,2024-09-16
SE10000056,0,0,0,0,1,2024-09-16
SE10000101,4,0,0,0,1,2024-09-16
SE10000005,24,0,0,0,1,2024-09-16
SE10000102,0,0,0,0,1,2024-09-16
SE10000004,24,0,0,0,1,2024-09-16
SE10000095,20,0,0,0,1,2024-09-16
SE10000080,0,0,0,0,1,2024-09-16
SE10000100,20,0,0,0,1,2024-09-16
SE10000099,20,0,0,0,1,2024-09-16
SE10000044,16,0,0,0,1,2024-09-16
SE10000104,10,0,0,0,1,2024-09-16
SE10000042,20,0,0,0,1,2024-09-16
SE10000103,16,0,0,0,1,2024-09-16
SE10000045,24,0,0,0,1,2024-09-16
SE10000043,12,0,0,0,1,2024-09-16
SE10000096,20,0,0,0,1,2024-09-16
SE10000082,9,0,0,0,1,2024-09-16
SE10000094,24,0,0,0,1,2024-09-16
SE10000184,24,0,0,0,1,2024-09-16
SE10000093,24,0,0,0,1,2024-09-16
SE10000092,10,0,0,0,1,2024-09-16
SE10000049,20,0,0,0,1,2024-09-16
SE10000073,20,0,0,0,1,2024-09-16
SE10000083,20,0,0,0,1,2024-09-16
SE10000081,20,0,0,0,1,2024-09-16
SE10000048,20,0,0,0,1,2024-09-16
SE10000047,10,0,0,0,1,2024-09-16
SE10000046,20,0,0,0,1,2024-09-16
AL2544670,24,0,0,0,0,2024-09-16
AL2544670,24,0,0,0,0,2024-09-16
AL2545207,20,0,0,0,0,2024-09-16
AL2545207,20,0,0,0,0,2024-09-16
AL2544685,16,0,0,0,1,2024-09-16
AL2544684,16,0,0,0,1,2024-09-16
AL2544660,0,0,0,0,0,2024-09-16
AL2544661,24,0,0,0,1,2024-09-16
AL2544662,20,0,0,0,1,2024-09-16
AL2544663,20,0,0,0,1,2024-09-16
AL2075241,20,0,0,0,0,2024-09-16
AL2076534,20,0,0,0,0,2024-09-16
AL2073165,20,0,0,0,1,2024-09-16
AL2073166,20,0,0,0,1,2024-09-16
AL2073164,20,0,0,0,1,2024-09-16
AL2073172,24,0,0,0,1,2024-09-16
AL2073173,24,0,0,0,1,2024-09-16
AL2073167,24,0,0,0,1,2024-09-16
AL2073175,0,0,0,0,1,2024-09-16
AL2073176,20,0,0,0,1,2024-09-16
AL2073162,24,0,0,0,1,2024-09-16
AL2073168,20,0,0,0,1,2024-09-16
AL2073160,20,0,0,0,1,2024-09-16
AL2073169,24,0,0,0,1,2024-09-16
AL2073177,16,0,0,0,1,2024-09-16
AL2073180,24,0,0,0,1,2024-09-16
AL2073170,24,0,0,0,1,2024-09-16
AL2073171,20,0,0,0,1,2024-09-16
AL2073181,10,0,0,0,1,2024-09-16
AL2073174,24,0,0,0,1,2024-09-16
AL2073375,0,0,0,0,0,2024-09-16
AL2073377,0,0,0,0,1,2024-09-16
AL2073378,16,0,0,0,1,2024-09-16
AL2073499,16,0,0,0,1,2024-09-16
AL2073376,24,0,0,0,1,2024-09-16
AL2073373,20,0,0,0,1,2024-09-16
AL2073371,20,0,0,0,1,2024-09-16
AL2073370,20,0,0,0,1,2024-09-16
AL2073379,0,0,0,0,1,2024-09-16
AL2073498,10,0,0,0,1,2024-09-16
AL2073372,20,0,0,0,1,2024-09-16
AL2073263,24,0,0,0,1,2024-09-16
AL2073261,20,0,0,0,1,2024-09-16
AL2073264,16,0,0,0,1,2024-09-16
AL2073574,24,0,0,0,1,2024-09-16
Al2073178,0,0,0,0,0,2024-09-16
AL2073421,24,0,0,0,1,2024-09-16
AL2073573,24,0,0,0,1,2024-09-16
AL2073269,12,0,0,0,1,2024-09-16
AL2073575,20,0,0,0,1,2024-09-16
AL2073265,16,0,0,0,1,2024-09-16
AL2073267,16,0,0,0,1,2024-09-16
AL2073582,16,0,0,0,1,2024-09-16
AL2073525,24,0,0,0,1,2024-09-16
AL2073570,16,0,0,0,1,2024-09-16
AL2073266,0,0,0,0,0,2024-09-16
AL2073268,24,0,0,0,1,2024-09-16
AL2073576,24,0,0,0,1,2024-09-16
AL2073577,16,0,0,0,1,2024-09-16
AL2073578,24,0,0,0,1,2024-09-16
AL2073588,16,0,0,0,1,2024-09-16
AL2073290,16,0,0,0,1,2024-09-16
AL2073589,10,0,0,0,1,2024-09-16
AL2073291,24,0,0,0,1,2024-09-16
AL2073580,20,0,0,0,1,2024-09-16
AL2073587,0,0,0,0,0,2024-09-16
AL2073292,24,0,0,0,1,2024-09-16
AL2073586,0,0,0,0,1,2024-09-16
AL2073293,24,0,0,0,1,2024-09-16
AL2073294,24,0,0,0,1,2024-09-16
AL2073590,0,0,0,0,1,2024-09-16
AL2073596,16,0,0,0,1,2024-09-16
AL2073295,20,0,0,0,0,2024-09-16
AL2073598,24,0,0,0,1,2024-09-16
AL2073296,20,0,0,0,1,2024-09-16
AL2073297,20,0,0,0,1,2024-09-16
AL2073583,0,0,0,0,1,2024-09-16
AL2073584,16,0,0,0,1,2024-09-16
AL2073299,10,0,0,0,1,2024-09-16
